Лев Толстой      | «Война и мир»             | Paper | text |
Джордж Оруэлл    | «1984»                    | EBook | text |
Джеймс Джойс     | «Улисс»                   | Paper |      |
Владимир Набоков | «Лолита»                  | EBook | text |
Уильям Фолкнер   | «Звук и ярость»           | EBook | text |
Ральф Эллисон    | «Человек-невидимка»       | Paper | text |
Вирджиния Вулф   | «На маяк»                 | EBook | text |
Гомер            | «Илиада» и «Одиссея»      | EBook | text |
Джейн Остен      | «Гордость и предубеждение»| Paper |      |
Данте Алигьери   | «Божественная комедия»    | EBook | text | 
Лев Толстой      | «Война и мир»             | EBook |      |
Джордж Оруэлл    | «1984»                    | Paper |      |
Джеймс Джойс     | «Улисс»                   | EBook | text |
Владимир Набоков | «Лолита»                  | Paper |      |
Уильям Фолкнер   | «Звук и ярость»           | Paper |      |
Ральф Эллисон    | «Человек-невидимка»       | EBook |      |
Вирджиния Вулф   | «На маяк»                 | Paper | text |
Гомер            | «Илиада» и «Одиссея»      | EBook | text |
Джейн Остен      | «Гордость и предубеждение»| Paper |      |
Данте Алигьери   | «Божественная комедия»    | Paper | text |
